X,CH1,
Second,Volt,
-8.19200e-06,-7.19e-02,
-8.19100e-06,-3.47e-02,
-8.19000e-06,7.19e-02,
-8.18900e-06,5.95e-02,
-8.18800e-06,7.19e-02,
-8.18700e-06,5.95e-02,
-8.18600e-06,7.19e-02,
-8.18500e-06,5.95e-02,
-8.18400e-06,7.19e-02,
-8.18300e-06,5.95e-02,
-8.18200e-06,7.19e-02,
-8.18100e-06,5.95e-02,
-8.18000e-06,7.19e-02,
-8.17900e-06,5.95e-02,
-8.17800e-06,7.19e-02,
-8.17700e-06,5.95e-02,
-8.17600e-06,7.19e-02,
-8.17500e-06,5.95e-02,
-8.17400e-06,7.19e-02,
-8.17300e-06,5.95e-02,
-8.17200e-06,7.19e-02,
-8.17100e-06,5.95e-02,
-8.17000e-06,7.19e-02,
-8.16900e-06,5.95e-02,
-8.16800e-06,7.19e-02,
-8.16700e-06,5.95e-02,
-8.16600e-06,7.19e-02,
-8.16500e-06,5.95e-02,
-8.16400e-06,7.19e-02,
-8.16300e-06,5.95e-02,
-8.16200e-06,7.19e-02,
-8.16100e-06,5.95e-02,
-8.16000e-06,7.19e-02,
-8.15900e-06,5.95e-02,
-8.15800e-06,7.19e-02,
-8.15700e-06,5.95e-02,
-8.15600e-06,7.19e-02,
-8.15500e-06,5.95e-02,
-8.15400e-06,7.19e-02,
-8.15300e-06,5.95e-02,
-8.15200e-06,7.19e-02,
-8.15100e-06,5.95e-02,
-8.15000e-06,7.19e-02,
-8.14900e-06,5.95e-02,
-8.14800e-06,7.19e-02,
-8.14700e-06,5.95e-02,
-8.14600e-06,6.20e-02,
-8.14500e-06,6.94e-02,
-8.14400e-06,8.18e-02,
-8.14300e-06,8.68e-02,
-8.14200e-06,8.92e-02,
-8.14100e-06,7.44e-02,
-8.14000e-06,5.95e-02,
-8.13900e-06,3.97e-02,
-8.13800e-06,2.23e-02,
-8.13700e-06,1.49e-02,
-8.13600e-06,1.74e-02,
-8.13500e-06,1.98e-02,
-8.13400e-06,2.48e-02,
-8.13300e-06,2.73e-02,
-8.13200e-06,2.98e-02,
-8.13100e-06,1.24e-02,
-8.13000e-06,-2.48e-03,
-8.12900e-06,-2.48e-02,
-8.12800e-06,-3.97e-02,
-8.12700e-06,-4.71e-02,
-8.12600e-06,-4.71e-02,
-8.12500e-06,-4.22e-02,
-8.12400e-06,-3.47e-02,
-8.12300e-06,-3.22e-02,
-8.12200e-06,-3.72e-02,
-8.12100e-06,-4.96e-02,
-8.12000e-06,-6.44e-02,
-8.11900e-06,-7.93e-02,
-8.11800e-06,-9.42e-02,
-8.11700e-06,-9.92e-02,
-8.11600e-06,-9.42e-02,
-8.11500e-06,-9.17e-02,
-8.11400e-06,-8.18e-02,
-8.11300e-06,-8.18e-02,
-8.11200e-06,-8.68e-02,
-8.11100e-06,-9.92e-02,
-8.11000e-06,-1.14e-01,
-8.10900e-06,-1.31e-01,
-8.10800e-06,-1.41e-01,
-8.10700e-06,-1.39e-01,
-8.10600e-06,-1.31e-01,
-8.10500e-06,-1.29e-01,
-8.10400e-06,-1.24e-01,
-8.10300e-06,-1.22e-01,
-8.10200e-06,-1.24e-01,
-8.10100e-06,-1.31e-01,
-8.10000e-06,-1.41e-01,
-8.09900e-06,-1.49e-01,
-8.09800e-06,-1.51e-01,
-8.09700e-06,-1.49e-01,
-8.09600e-06,-1.39e-01,
-8.09500e-06,-1.34e-01,
-8.09400e-06,-1.26e-01,
-8.09300e-06,-1.22e-01,
