freq_hz,phase,level_rms,level,peak,peak_rms
0,-50,-6.99688138362817,-3.95694082265577,0.634093,0.446844
10000,-50.2,-6.99688138362817,-3.95694082265577,0.634093,0.446844
12116,-44.7,-6.25705772706701,-3.21688987194341,0.690487,0.486572
14678,-37.6,-5.71625585449868,-2.66925583808163,0.735423,0.51783
17783,-30.5,-5.31696993374101,-2.26375806083551,0.77057,0.54219
21545,-25.4,-5.02055698243309,-1.98093120057548,0.796074,0.561012
26102,-23.8,-4.8053138891568,-1.74818377924801,0.817694,0.575088
31623,-16.9,-4.6563778720896,-1.60389362285283,0.831391,0.585034
38312,-14.5,-4.55278827847223,-1.50243807938397,0.841159,0.592053
46416,-12.6,-4.47910221685071,-1.42224520274944,0.848961,0.597097
56235,-7.60000000000002,-4.43283570471817,-1.38913882582437,0.852203,0.600286
68130,-6.89999999999998,-4.40241608737306,-1.34879987627848,0.85617,0.602392
82541,-6.5,-4.38193643333827,-1.32902939623718,0.858121,0.603814
100000,-3.89999999999998,-4.37723379792382,-1.32314039659248,0.858703,0.604141
121153,-2.5,-4.36134709056803,-1.30969768575793,0.860033,0.605247
146780,-0.300000000000011,-4.35710023787832,-1.30935431008473,0.860067,0.605543
177828,1.379,-4.35522138124566,-1.30367038544171,0.86063,0.605674
215444,1.667,-4.35456172646193,-1.3035290918941,0.860644,0.60572
261016,4.774,-4.3568133632484,-1.30372084798002,0.860625,0.605563
316228,5.295,-4.36144754803262,-1.30902104667706,0.8601,0.60524
383119,7.099,-4.36920062788117,-1.32384848432255,0.858633,0.6047
464159,7.762,-4.38090077207358,-1.32885732416198,0.858138,0.603886
562342,11.51,-4.39071574421897,-1.34372883059717,0.85667,0.603204
681293,16.52,-4.42561838088175,-1.36807656066715,0.854272,0.600785
825405,18.54,-4.46487249804426,-1.42330931271116,0.848857,0.598076
1000000,20.64,-4.52574811964386,-1.46756466757165,0.844543,0.593899
1211528,27.16,-4.6097358701669,-1.56535513941369,0.835088,0.588184
1467800,32.99,-4.72621519111457,-1.66778414688654,0.825298,0.580349
1778280,39.97,-4.8867249501167,-1.83423597288631,0.809633,0.569723
2154435,47.71,-5.09897284411306,-2.04694143410292,0.790047,0.55597
2610158,55.07,-5.36941727504007,-2.32933770356351,0.764774,0.538926
3162278,67.75,-5.67639267857094,-2.62371511383787,0.739289,0.520212
3831187,79.96,-6.00534352573477,-2.97466175624377,0.710014,0.500879
4641589,93.81,-6.28391168485841,-3.26688551565668,0.686524,0.48507
5623414,108.5,-6.38727153451778,-3.34069358654316,0.680715,0.479332
6812921,129.7,-6.15893269931838,-3.09442910164087,0.700291,0.4921
8254042,158.2,-5.67380505590345,-2.62296321183971,0.739353,0.520367
10000000,206.8,-6.10663271107434,-3.0480039660193,0.704044,0.495072
12115277,258.1,-7.82969326925929,-4.73999544930734,0.579429,0.40599
14677993,24.48,-7.18576121098611,-4.03751596266015,0.628238,0.437232
17782795,0,-34.240831882797,-29.7295220777251,0.032623,0.019407
20000000,0,-58.5476504690953,-43.5213908974887,0.006667,0.001182
